team_slug,player_name,move_type,salary,contract_years,notes,impact_rating,source,transaction_date,season,round_number,overall_pick,mps_score
dallas-mavericks,Dereck Lively II,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
dallas-mavericks,Jett Howard,signed,,,Acquired from orlando-magic,medium,sync,,2027,,,
dallas-mavericks,Kyrie Irving,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
dallas-mavericks,Marcus Sasser,signed,,,Acquired from detroit-pistons,medium,sync,,2027,,,
dallas-mavericks,Morez Johnson,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
dallas-mavericks,Santi Aldama,signed,,,Acquired from memphis-grizzlies,medium,sync,,2027,,,
dallas-mavericks,Sergio De Larrea,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
dallas-mavericks,Tarik Biberovic,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
dallas-mavericks,Tobi Lawal,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
dallas-mavericks,Vsevolod Ishchenko,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
dallas-mavericks,Zaccharie Risacher,signed,,,Acquired from atlanta-hawks,medium,sync,,2027,,,
denver-nuggets,Bryce Hopkins,drafted,,,"Round 2, Pick 49",low,draft,,2027,2,49,
denver-nuggets,Tarris Reed Jr.,drafted,,,"Round 1, Pick 26",low,draft,,2027,1,26,
denver-nuggets,Hunter Tyson,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
denver-nuggets,Jonas Valančiūnas,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
denver-nuggets,Tim Hardaway Jr.,lost,,,Left via offseason — now on miami-heat,medium,sync,,2027,,,
denver-nuggets,Alpha Diallo,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
denver-nuggets,Bryce Hopkins,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
denver-nuggets,Marvin Bagley III,signed,,,Acquired from washington-wizards,medium,sync,,2027,,,
denver-nuggets,Trevon Brazile,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
detroit-pistons,Karim Lopez,drafted,,,"Round 1, Pick 21",low,draft,,2027,1,21,
detroit-pistons,Bobi Klintman,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
detroit-pistons,Caris LeVert,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
detroit-pistons,Isaiah Stewart,lost,,,Left via offseason — now on memphis-grizzlies,medium,sync,,2027,,,
detroit-pistons,Jaden Ivey,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
detroit-pistons,Marcus Sasser,lost,,,Left via offseason — now on dallas-mavericks,medium,sync,,2027,,,
detroit-pistons,Tobias Harris,lost,,,Left via offseason — now on san-antonio-spurs,medium,sync,,2027,,,
detroit-pistons,Ebuka Okorie,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
detroit-pistons,Elijah Harkless,signed,,,Acquired from utah-jazz,medium,sync,,2027,,,
detroit-pistons,Gary Harris,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
detroit-pistons,Isaac Jones,signed,,,Acquired from sacramento-kings,medium,sync,,2027,,,
detroit-pistons,Isaiah Joe,signed,,,Acquired from oklahoma-city-thunder,medium,sync,,2027,,,
detroit-pistons,John Collins,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
detroit-pistons,Taurean Prince,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
detroit-pistons,Ugonna Onyenso,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
golden-state-warriors,Lajae Jones,drafted,,,"Round 2, Pick 54",low,draft,,2027,2,54,
golden-state-warriors,Yaxel Lendeborg,drafted,,,"Round 1, Pick 11",medium,draft,,2027,1,11,
golden-state-warriors,Jonathan Kuminga,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
golden-state-warriors,Omer Yurtseven,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
golden-state-warriors,Pat Spencer,lost,,,Left via offseason — now on phoenix-suns,medium,sync,,2027,,,
golden-state-warriors,Quinten Post,lost,,,Left via offseason — now on memphis-grizzlies,medium,sync,,2027,,,
golden-state-warriors,Charles Bassey,signed,,,Acquired from philadelphia-76ers,medium,sync,,2027,,,
golden-state-warriors,Lajae Jones,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
golden-state-warriors,Yaxel Lendeborg,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
houston-rockets,Jack Kayil,drafted,,,"Round 2, Pick 39",low,draft,,2027,2,39,
houston-rockets,Ugonna Onyenso,drafted,,,"Round 2, Pick 53",low,draft,,2027,2,53,
houston-rockets,Dorian Finney-Smith,lost,,,Left via offseason — now on charlotte-hornets,medium,sync,,2027,,,
houston-rockets,Josh Okogie,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
houston-rockets,Bogdan Bogdanović,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
houston-rockets,Bruce Thornton,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
houston-rockets,Fred VanVleet,signed,,,Acquired from houston-rockets,medium,sync,,2027,,,
houston-rockets,Julian Phillips,signed,,,Acquired from minnesota-timberwolves,medium,sync,,2027,,,
houston-rockets,Marcus Smart,signed,,,Acquired from los-angeles-lakers,medium,sync,,2027,,,
houston-rockets,Oscar Tshiebwe,signed,,,Acquired from utah-jazz,medium,sync,,2027,,,
houston-rockets,Quadir Copeland,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
houston-rockets,Tristen Newton,signed,,,Acquired from houston-rockets,medium,sync,,2027,,,
indiana-pacers,Bennedict Mathurin,lost,,,Left via offseason — now on los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Garrison Mathews,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
indiana-pacers,Jeremiah Robinson-Earl,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
indiana-pacers,Kam Jones,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
indiana-pacers,Micah Potter,lost,,,Left via offseason — now on portland-trail-blazers,medium,sync,,2027,,,
indiana-pacers,RayJ Dennis,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
indiana-pacers,Taelon Peter,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
indiana-pacers,Tony Bradley,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
indiana-pacers,Braden Smith,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
indiana-pacers,Ivica Zubac,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Kelly Oubre Jr.,signed,,,Acquired from philadelphia-76ers,medium,sync,,2027,,,
indiana-pacers,Kobe Brown,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Larry Nance Jr.,signed,,,Acquired from cleveland-cavaliers,medium,sync,,2027,,,
indiana-pacers,Tyrese Haliburton,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
la-clippers,Baba Miller,drafted,,,"Round 2, Pick 36",low,draft,,2027,2,36,
la-clippers,Henri Veesaar,drafted,,,"Round 2, Pick 52",low,draft,,2027,2,52,
la-clippers,Keaton Wagler,drafted,,,"Round 1, Pick 5",high,draft,,2027,1,5,
la-clippers,Narcisse Ngo,drafted,,,Round 2 Pick 57,low,manual,,2027,,,
la-clippers,Bogdan Bogdanović,lost,,,Left via offseason — now on houston-rockets,medium,sync,,2027,,,
la-clippers,Chris Paul,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
la-clippers,Ivica Zubac,lost,,,Left via offseason — now on indiana-pacers,medium,sync,,2027,,,
la-clippers,John Collins,lost,,,Left via offseason — now on detroit-pistons,medium,sync,,2027,,,
la-clippers,Kobe Brown,lost,,,Left via offseason — now on indiana-pacers,medium,sync,,2027,,,
la-clippers,Baba Miller,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
la-clippers,Bennedict Mathurin,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
la-clippers,Bradley Beal,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
la-clippers,Darius Garland,signed,,,Acquired from cleveland-cavaliers,medium,sync,,2027,,,
la-clippers,Johni Broome,signed,,,Acquired from philadelphia-76ers,medium,sync,,2027,,,
la-clippers,Keaton Wagler,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
la-clippers,Narcisse Ngoy,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
la-clippers,Nick Martinelli,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
la-clippers,Norchad Omier,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
la-clippers,Rui Hachimura,signed,,,Acquired from los-angeles-lakers,medium,sync,,2027,,,
la-clippers,Sean Pedulla,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
los-angeles-lakers,Sergio De Larrea,drafted,,,"Round 1, Pick 25",low,draft,,2027,1,25,
los-angeles-lakers,Deandre Ayton,lost,,,Left via offseason — now on washington-wizards,medium,sync,,2027,,,
los-angeles-lakers,Drew Timme,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
los-angeles-lakers,Jaxson Hayes,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
los-angeles-lakers,Kobe Bufkin,lost,,,Left via offseason — now on new-orleans-pelicans,medium,sync,,2027,,,
los-angeles-lakers,LeBron James,lost,,,Left via offseason — now on philadelphia-76ers,medium,sync,,2027,,,
los-angeles-lakers,Marcus Smart,lost,,,Left via offseason — now on houston-rockets,medium,sync,,2027,,,
los-angeles-lakers,Maxi Kleber,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
los-angeles-lakers,Nick Smith Jr.,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
los-angeles-lakers,Rui Hachimura,lost,,,Left via offseason — now on los-angeles-clippers,medium,sync,,2027,,,
los-angeles-lakers,AK Okereke,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
los-angeles-lakers,Arthur Kaluma,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
los-angeles-lakers,Cameron Carr,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
los-angeles-lakers,Collin Sexton,signed,,,Acquired from charlotte-hornets,medium,sync,,2027,,,
los-angeles-lakers,Jaden Hardy,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
los-angeles-lakers,Kevon Looney,signed,,,Acquired from new-orleans-pelicans,medium,sync,,2027,,,
los-angeles-lakers,Matisse Thybulle,signed,,,Acquired from portland-trail-blazers,medium,sync,,2027,,,
los-angeles-lakers,Quentin Grimes,signed,,,Acquired from philadelphia-76ers,medium,sync,,2027,,,
los-angeles-lakers,Sandro Mamukelashvili,signed,,,Acquired from toronto-raptors,medium,sync,,2027,,,
los-angeles-lakers,Walker Kessler,signed,,,Acquired from utah-jazz,medium,sync,,2027,,,
los-angeles-lakers,Ziaire Williams,signed,,,Acquired from brooklyn-nets,medium,sync,,2027,,,
memphis-grizzlies,Bennett Stirtz,drafted,,,"Round 1, Pick 16",medium,draft,,2027,1,16,
memphis-grizzlies,Cameron Boozer,drafted,,,"Round 1, Pick 3",high,draft,,2027,1,3,
memphis-grizzlies,Richie Saunders,drafted,,,"Round 2, Pick 32",low,draft,,2027,2,32,
memphis-grizzlies,Brandon Clarke,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,DeJon Jarreau,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,Ja Morant,lost,,,Left via offseason — now on portland-trail-blazers,medium,sync,,2027,,,
memphis-grizzlies,Jaren Jackson Jr.,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
memphis-grizzlies,John Konchar,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
memphis-grizzlies,Kentavious Caldwell-Pope,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,Santi Aldama,lost,,,Left via offseason — now on dallas-mavericks,medium,sync,,2027,,,
memphis-grizzlies,Tyler Burton,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,Vince Williams Jr.,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,AJ Johnson,signed,,,Acquired from washington-wizards,medium,sync,,2027,,,
memphis-grizzlies,Cameron Boozer,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
memphis-grizzlies,D'Angelo Russell,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
memphis-grizzlies,Isaiah Stewart,signed,,,Acquired from detroit-pistons,medium,sync,,2027,,,
memphis-grizzlies,Jerami Grant,signed,,,Acquired from portland-trail-blazers,medium,sync,,2027,,,
memphis-grizzlies,Karim Lopez,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
memphis-grizzlies,Kris Murray,signed,,,Acquired from portland-trail-blazers,medium,sync,,2027,,,
memphis-grizzlies,Quinten Post,signed,,,Acquired from golden-state-warriors,medium,sync,,2027,,,
memphis-grizzlies,Richie Saunders,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
memphis-grizzlies,Taylor Hendricks,signed,,,Acquired from utah-jazz,medium,sync,,2027,,,
memphis-grizzlies,Walter Clayton Jr.,signed,,,Acquired from utah-jazz,medium,sync,,2027,,,
miami-heat,Nate Ament,drafted,,,"Round 1, Pick 13",medium,draft,,2027,1,13,
miami-heat,Otega Oweh,drafted,,,"Round 2, Pick 41",low,draft,,2027,2,41,
miami-heat,Jaime Jaquez Jr.,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Kasparas Jakučionis,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Kel'el Ware,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Norman Powell,lost,,,Left via offseason — now on chicago-bulls,medium,sync,,2027,,,
miami-heat,Tyler Herro,lost,,,Left via offseason — now on milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Bobby Portis,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Giannis Antetokounmpo,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
miami-heat,Jahmir Young,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
miami-heat,Ryan Conwell,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
miami-heat,Tim Hardaway Jr.,signed,,,Acquired from denver-nuggets,medium,sync,,2027,,,
miami-heat,Tre Donaldson,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
miami-heat,Trevor Keels,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
miami-heat,Vladislav Goldin,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Brayden Burries,drafted,,,"Round 1, Pick 10",medium,draft,,2027,1,10,
milwaukee-bucks,Malique Lewis,drafted,,,Round 2 Pick 60,low,manual,,2027,,,
milwaukee-bucks,Amir Coffey,lost,,,Left via offseason — now on phoenix-suns,medium,sync,,2027,,,
milwaukee-bucks,Bobby Portis,lost,,,Left via offseason — now on miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Cam Thomas,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
milwaukee-bucks,Cole Anthony,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
milwaukee-bucks,Gary Harris,lost,,,Left via offseason — now on detroit-pistons,medium,sync,,2027,,,
milwaukee-bucks,Giannis Antetokounmpo,lost,,,Left via offseason — now on miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Taurean Prince,lost,,,Left via offseason — now on detroit-pistons,medium,sync,,2027,,,
milwaukee-bucks,Alex Antetokounmpo,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
milwaukee-bucks,Bogoljub Marković,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
milwaukee-bucks,Brayden Burries,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
milwaukee-bucks,Caris LeVert,signed,,,Acquired from detroit-pistons,medium,sync,,2027,,,
milwaukee-bucks,Jaime Jaquez Jr.,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Kam Jones,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
milwaukee-bucks,Kasparas Jakučionis,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Kel'el Ware,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
milwaukee-bucks,Malique Lewis,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
milwaukee-bucks,Nate Ament,signed,,,Acquired from outside NBA,medium,sync,,2027,,,
milwaukee-bucks,Ousmane Dieng,signed,,,Acquired from oklahoma-city-thunder,medium,sync,,2027,,,
milwaukee-bucks,Thanasis Antetokounmpo,signed,,,Acquired from milwaukee-bucks,medium,sync,,2027,,,
milwaukee-bucks,Tyler Herro,signed,,,Acquired from miami-heat,medium,sync,,2027,,,
minnesota-timberwolves,Joshua Jefferson,drafted,,,"Round 1, Pick 28",low,draft,,2027,1,28,
minnesota-timberwolves,Trey Kaufman-Renn,drafted,,,"Round 2, Pick 59",low,draft,,2027,2,59,
minnesota-timberwolves,Joe Ingles,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
